num,id,content
num,id,content
376,yoshiringo,"舊的政見都還沒有兌現,就開新的政見我覺得韓國瑜會變成幹話王= ="
377,cystal,他也只是喊爽的 這麼認真看
378,sakula0616,佛覽其實可以發展 這觀光客很夠重點是他明年就不是高雄市長了XD
379,bgp895405,不要懷疑，他就是草包喇叭嘴
380,togmogo,http://i.imgur.com/FZNQfqr.jpg
381,monitor,把高鐵延伸過去快一點
382,ironaxe,把外匯存底當郵局存簿的腦袋，別當真
383,ABQ66,他沒說錯啊 105年有1000萬啊看錯 sor
384,toshizo,反正沒白紙黑字，隨便說說就好
385,toshizo,看來韓導又張嘴了
386,anper,ABQ其實一開始我也跟你一樣看錯XD
387,fnb10803,剩張嘴
388,straggler7,他是說　若蓋起來　一年估計有一千萬
389,eeveelugia2,反正再幾個月這爛貨就會被罷免了 他現在講什麼幹話都不用理
390,bigchun,他是不是忘了他是市長？不能直接作？？
391,o760823,他現在不是市長嗎？不能做？
392,soyghcg,你太小看佛光山
393,wantshithole,###@ 何必跟這種人認真呢 @###
394,scores,你說不還就不還喔不過話說 香港台灣應該也有機會爭所有權香港的地比台灣更少 籠民真的很恐怖光居住這一點 香港底層民眾需要負更多代價
395,F93935,當年柴契爾被逼還的時候早就有共黨建立共英聯合政府，準備交接了，你以為英國能幹嘛理論上要還也只有新界地區，港島跟九龍是永久割讓
396,hoberg,資進黨只關心反送中，執政四年有關心過香港其他議題嗎
397,Chia2323,當初說什麼權狀這我們這 誰鳥你
398,ciswww,看定義，不然英國貧窮率也是20%
399,lion198,80%
400,gzliu,https://bit.ly/35mwmLO
401,MIROS,香港人均比台灣多很多，iphone價錢可是一樣
402,bear701107,韓都感謝柯的讚聲了 柯fen又在裝傻
403,bear701107,說國民黨的就說個人談話 說民進黨的就黨政媒聯合 哇柯韓真的本一家 小藍現在都沒在演了
404,hoberg,難道要去站資進黨的臺嗎？？？又不是自甘墮落
405,justice2008,不然你要投KMT?DPPer:不爽不要投
406,flysonics,你知道的太多了
407,purplebfly,"柯韓都互相唱和了,還在帶風向??你不喜歡的話題都別人在帶風向??DPP叫高雄人道歉那幾十篇的文章,你怎麼不說"
408,slimu0001,原來站kmt的場就不叫自甘墮落，mg149跟器捐案，kmt打柯也沒在手軟的，怎麼現超舔kmt就沒事，柯粉還很開心
409,slimu0001,國民黨當初動用政府資源追打柯文哲叫個人談話，洗白kmt會不會洗得太噁心啊
410,syura945,柯就是要搶民進黨的票  裝個屁
411,Anvec,你問柯吧 其實程度差很多一個是民代個人跟談話性節目在質疑一個是組織的 黨政媒外圍側翼網軍聯合作戰這兩個事件經過 柯文哲的態度轉變就知道了
412,Anvec,柯文哲的態度轉變那麼大 就知道他現在比較討厭誰 也可以說明誰的做法特別無恥
413,loki94y,乾個屁？ 有切乾淨吃屎柯糞能洗兩三百篇喔？
414,Albert666,支持舔共黨 v.s 卡神 秒選反共拒投舔共黨
415,hank7218,不愛看的都是帶風向，愛看的洗100篇都嫌少
416,EggAcme,好可憐
417,rocklorl,仙女姐姐都說可投丁丁了，深綠丁粉耶。不過有台灣價值，所以妙菸粉全無視。
418,DarkerDuck,你這樣嗆待會是準備收私訊被出征嗎???
419,david190, 為黨謀私 比較重要 人民去死吧
420,duringduring,沒想到蟑進黨這麼髒
421,THAO168,指控要證據
422,newlances,你沒台灣價值啊
423,sharkimage,https://i.imgur.com/6T2qqWX.jpg欠債都解釋不清的政黨
424,justiceyes,八卦蟑螂日常，不用認真
425,james732,不然你要投給韓國魚ㄇ
426,andy02,只能推這篇了
427,bear701107,2022年再來看看啦
428,Ben40,總統給她啊 政黨票洗洗睡
429,hugh509,台中派系哩，只靠派系差那麼多票?全翻盤?
430,aggressorX,DPP真以為自己很行 瞎貓碰到死光頭
431,justice2008,不然你要投KMT?
432,F93935,好 討厭民進黨 票投韓國瑜
433,pitalvlu,以訟止謗 你不要刪
434,puma20055,哈哈，憋了很久膩。
435,Ornette,如果反滲透法過了你要不要自含
436,uuuu120,dpp只有領先就開始傲慢 開始分贓
437,ssw0929,某謀真的帶賽
438,icui4cu,就做得不好被人民淘汰
439,goldleft,前幾年總統支持度檳榔柯還最高咧
440,johnhahaha,推
441,lazycat5,砲火真猛~~
442,wugi,領先開始傲慢 快輸就請網軍
443,cijaytheone,黑人怎麼抹...黑...？
444,stocktonty,高雄也是陳菊放著派系不管陳其邁一副穩贏的嘴臉 官位都分好了到後面發現情況不妙已經來不及了最早察覺台中高雄不妙的是誰? 阿扁啦!整個民進黨比不上阿扁一個人 超廢
445,stocktonty,台中本來就看縣區臉色 14.18完全證明
446,stocktonty,台中 縣區就關鍵游離票啊一來一往20萬這邊+10 另一邊-10 就差20萬了
447,stocktonty,所以台中的票根本就10萬換過去另一邊上次80:60 這次還是80:60
448,greedypeople,你可能LAG了 12/31應該會開會審前幾天館長跟立委們的直播有提到
449,rocklorl,如果這次是朱出來選，蔡CF就頭大了
450,sharkimage,推
